"Nid","School code","School name","Location","Country","Intl GPA","US GPA","Notes"
"444","","DEFAULT Ecuador - 10-point scale","","Ecuador","10/9/7.5/6","4.0/3.6/3.0/2.0","9-10=A, 7.5-8.99 = B, 6-7.49=C"
"466","","Escuela Superior Politecnico del Litoral","","Ecuador","10/8.0/7.0/6.5/6.0","4.0/3.7/3.3/3.0/2.0","9-10=A+, 8-8.99=A, 7-7.99=B+, 6.50-6.99=B, 6-6.49=C"
"98","7211533","Ain Shams University","Cairo","Egypt","100/85/75/65","4.0/3.6/3.0/2.0","Distinction = 85+; Very Good = 75-85; Good = 65-75; Pass = 50-65"
"99","","Cairo University","Cairo","Egypt","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"100","","DEFAULT Egypt","","Egypt","100/85/84/75/65","4.0/3.6/3.5/3.0/2.0",""
"101","","German University in Cairo","","Egypt","","","Use the Letter Grade Worksheet"
"102","7227355","Xi'an Jiaotong-Liverpool University","Suzhou/Jiangsu","England","100/70/60/50","4.0/3.6/3.0/2.0","A = 70-100; B = 60-69; C = 50-59"
"360","","DEFAULT France","","France","20/16/14/12/10","4.0/3.6/3.3/3.0/2.0","16-20=A+, 14-15=A, 12-13=B, 10-11=C"
"331","","Ecole Nationale Superieure de Chimie de Paris","Paris","France","20/16/14/12/10","4.0/3.6/3.3/3.0/2.0","16-20=A+, 14-15=A, 12-13=B, 10-11=C"
"416","","Albert-Ludwig's University of Freiburg","","Germany","4.0/3.5/2.5/1.5/1.0","1.0/2.0/3.0/3.7/4.0","1.0 to 1.5 = excellent, 1.6 to 2.5 = good, 2.6 to 3.5 = satisfactory, 3.6 to 4.0 = sufficient"
"437","","DEFAULT Germany","","Germany","4.0/3.0/2.0/1.5/1.0","1.0/2.0/3.0/3.6/4.0","1 = Very Good A, 2 = Good B, 3 = satisfactory C, 4 = sufficient D"
"103","7114787","Ruhr University of Bochum","Bochum","Germany","100/95/84/73/62/50","4.0/3.7/3.3/3.0/2.3/2.0","Excellent = 95-100; Very Good = 84-94; Good = 73-83; Satisfactory = 62-72; Sufficient = 50-61"
"104","","Technische Universitat Darmstadt","","Germany","","","Check GPA book"
"482","","KAAF University College","","Ghana","100/70/60/50/40","4.0/3.6/3.0/2.0/1.0","70-100 = A (Excellent), 60-69.99 = B (Very Good), 50-59.99 = C (Good), 40-49.99 = D (Satisfactory)"
"449","","Kwame Nkrumah University of Science and Technology","","Ghana","100/70/60/50","4.0/3.6/3.0/2.0","70-100 = A/Excellent/First Class; 60-69 = B/Very Good/Second Class (Upper Division); 50-59 = C/Good/Second Class (Lower Division)"
"105","","DEFAULT Great Britain","","Great Britain","100/70/60/50","4.0/3.6/3.0/2.0","A = 70-100; B = 60-69; C = 50-59"
"351","7214751","Lancaster University","Lancaster","Great Britain","24/17/14.5/11.5/9","4.0/3.5/3.0/2.0/1.0","17.1-24 = First class honours, 14.5-17 = Upper second class honours, 11.5-14.4 = Lower second class honours, 9-11.4 = Third class honours
Scale found online and approved by Joanna Itoh 2/16/18"
"106","","Athens University of Economics & Business","","Greece","10/8.5/6.5/5","4.0/3.6/3.0/2.0","Excellent = 8.51-10; Very Good = 6.51-8.5; Good = 5-6.5"
"107","","DEFAULT Greece - Technical Universities","","Greece","10/9/8.9/7.5/7.4/6.0","4.0/3.6/3.5/3.0/2.9/2.0",""
"108","","DEFAULT Greece - Universities","","Greece","10/8.5/8.4/6.5/5.0","4.0/3.6/3.5/3.0/2.0",""
"109","","Technological Educational Institute of Messolonghi","","Greece","10/8.5/6.5/5","4.0/3.6/3.0/2.0","Excellent = 8.50-10; Very Good = 6.50-8.49; Good = 5-6.49"
"110","","University of Patras","","Greece","10/8.5/6.5/5","4.0/3.6/3.0/2.0","Excellent = 8.5+; Very Good = 6.50-8.50; Good = 5.0-6.50; Unsuccessful = Lower than 5"
"111","7218223","City University of Hong Kong","Hong Kong","Hong Kong","4.3/4.0/3.7/3.0/2.0","4.0/3.8/3.6/3.0/2.0","4.3 Scale."
"112","","The China University of Hong Kong","","Hong Kong","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"113","","The Hong Kong Polytechnic University","","Hong Kong","4.5/4.0/3.0/2.0","4.0/3.6/3.0/2.0","4.5 Scale."
"346","","DEFAULT Hungary","","Hungary","5/4/3/2","4.0/3.0/2.0/1.0","5 = Jeles(Excellent)/A, 4 = Jo(Good)/B, 3 = Kozepes(Fair)/C, 2 = Elegseges(Sufficient)/D"
"394","","DEFAULT Iceland","","Iceland","10/9/7.25/6","4.0/3.6/3.0/2.0","A = 9.00-10.00, B = 7.25-8.99, C = 6.00-7.24"
"340","","Aligarh Muslim University","Aligarh","India","10/8.5/7/6.5/6/4","4.0/3.6/3.3/3.0/2.5/1.0","First Division with Honors above 8.5, First Division above 6.5, Second Division less than 6.5"
"366","","Amity University","Noida","India","10/8.5/6.5/6.0","4.0/3.6/3.0/2.0","8.5+ = First Division with Distinction, 6.5-8.5 = First Division, 6.0-6.5 = Second Class"
"114","","Amrita Vishwa Vidyapeetham University","","India","10/9/8/7.5/7/6.5/6","4.0/3.7/3.3/3.0/2.7/2.3/2.0","A+ = 10; A = 9; B+ = 8; B = 7.5; B- = 7; C+ = 6.5; C = 6"
"115","7211335","Anna University, Chennai","Chennai","India","10/9/8/7/6","4.0/3.7/3.0/2.0/1.7","S = 10; A = 9; B = 8; C = 7"
"121","","B.S. Abdur Rahman University","","India","10/8/7/6","4.0/3.0/2.0/1.0","S = 10; A = 9; B = 8; C = 7"
"116","","Banasthali University","","India","100/60/48/36","4.0/3.6/3.0/2.0","First Division = 60+; Second Division = 48-60; Passing = 36"
"117","","Biju Patnaik University of Technology, Odisha Rourkela","","India","10/8/7/6","4.0/3.6/3.0/2.0","Outstanding = 10; Excellent = 9; Very Good (A) = 8; Good (B) = 7; Fair ( C) = 6"
"119","7228312","Birla Institute of Technology","","India","10/7/6/5","4.0/3.6/3.0/2.0","First Class with Distinction = 7.0 and above; First Class = 6.0 to 6.99; Second Class = 5.0 to 5.99"
"118","7114656","Birla Institute of Technology and Science, Pilani (Rajasthan)","","India","10/9/7/4.5","4.0/3.6/3.0/2.0","Distinction = 9+; First Class = 7-9; Second Class = 4.5-7"
"120","","BMS College of Engineering, Bangalore","","India","10/7.75/6.75/5.75","4.0/3.6/3.0/2.0","Distinction = 7.75+; First Class = 6.75+; Second Class = 5.75+"
"411","","Chaitanya Bharathi Institue of Technology","","India","10/9/8/7/6/5.5/5/4.01","4.0/3.9/3.8/3.7/3.6/3.5/3.0/2.0","O = 9-10, A++ = 8-8.99, A+ = 7-7.99, A = 6-6.99, B+ = 5.5-5.99, B = 5.0 -5.49, C+ = 4.5-4.99, C = 4.0-4.59"
"122","","Charotar University of Science and Technology","","India","10/9/8/7/6","4.0/3.7/3.0/2.7/2.0","A = 10; A- = 9; B = 8; B- = 7; C = 6"
"123","","Chhattisgarh Swami Vivekanand Technical University","","India","10/9/8/7/6","4.0/3.7/3.3/3.0/2.3","A+ = 10; A = 9; B+ = 8; B = 7; C+ = 6; C = 5"
"337","","Chitkara University","","India","10/9/8/7/6.5/6/5/4.5/4/2","4.0/3.8/3.7/3.3/3.0/2.7/2.3/2.0/1.7/1.0","A+ = 10, A = 9, A- = 8, B+ = 7, B = 6.5, B- = 6, C+ = 5, C = 4.5, C- = 4.0, D = 2.0"
"125","7110519","Coimbatore Institute of Technology","Coimbatore","India","10/9/8/7","4.0/3.6/3.0/2.0","S = 10; A = 9; B = 8; C = 7"
"124","","College of Engineering, Pune","","India","10/9/8/7/6","4.0/3.7/3.0/2.7/2.0","AA = 10; AB = 9; BB = 8; BC = 7; CC = 6"
"126","","Cummins College of Engineering for Women","","India","100/66/60/55/50/40","4.0/3.6/3.0/2.7/2.3/2.0","Distinction = 66+ ; First Class = 60-66; Higher 2nd Class = 55-60; 2nd Class = 50-55; Pass = 40-50"
"475","","D.Y. Patil - 7-point scale","","India","7/6/5/4/3/2/1","4.0/3.9/3.7/3.3/3.0/2.3/2.0","7=O, 6=A+, 5=A, 4=B+, 3=B, 2=C+, 1=C"
"127","","Datta Meghe College of Engineering - 10-point scale","","India","10/8.25/7.75/7.25/6.75","4.0/3.7/3.3/3.0/2.0","8.25 = 75 = A; 7.75 = 70 = B+; 7.25 = 65 = B; 6.75 = 60 = C "
"472","","Datta Meghe College of Engineering - 100-percentage scale","","India","100/70/60/50","4.0/3.6/3.0/2.0","70+ = First Class with Distinction, 60-69 = First Class, 50-59 = Second Class"
"393","","Dayananda Sagar College of Engineering","","India","10/9/8/7/6","4.0/3.8/3.6/3.0/2.0","10 = S+, 9 = S, 8 = A, 7 = B, 6 = C"
"370","","DEFAULT India - 10-point scale","","India","10/9/8/7","4.0/3.6/3.0/2.0",""
"130","","DEFAULT India - Letter Grades","","India","","","Use Letter Grade Worksheet; AA = A, AB = A-, BB = B, BC = B-, CC = C, CD = C-"
"129","","DEFAULT India - Other Traditional Patterns (B.Engr, B.Arch)","","India","100/70/60/50","4.0/3.6/3.0/2.0","Distinction = 70-75; First Class = 60-69; Second Class = 50-59; Third Class = 40-49"
"128","","DEFAULT India - Predominant (BS, BSc, MA, MSc)","","India","100/60/45/33","4.0/3.6/3.0/2.0","First Division = 60+; 2nd Division = 45-60; 3rd Division = 33-44; Fail = Below 33"
"131","","Delhi Technological University","","India","100/75/60/50/40","4.0/3.6/3.0/2.0/1.0","Distinction = 75+ ; First Class = 60-75; 2nd Class = 50-60; Pass = 40-50"
"132","","Dharmsinh Desai University","","India","10/7.5/7/6","4.0/3.6/3.0/2.0","Distinction = 7.5+; First Class = 7.0-7.49; 2nd Class = 6.00-6.99; Pass = 5.00-5.99"
"364","7229450","Dhirubhai Ambani Institute of Information and Communication Technology","Ahmedabad","India","10/9/8/7/6","4.0/3.6/3.0/2.6/2.0","AA = 10, AB = 9, BB = 8, BC = 7, CC = 6"
"133","","Don Bosco Institute of Technology","","India","100/70/60/50","4.0/3.6/3.0/2.0","Distinction = 70; First Class = 60-70; 2nd Class = 50-60; Pass = 40-50"
"134","","DRAPJ Abdul Kalam Technical University","","India","100/75/60/50","4.0/3.6/3.0/2.0","Honors = 75+ ; First Division = 60+ ; 2nd Division = 50+ ; Pass = 40+"
"135","7210590","Dwarkadas J. Sanghvi College of Engineering","Mumbai","India","10/9/8/7","4.0/3.7/3.0/2.0","O = 10 or 80+% ; A = 9 or 75-79.99%; B = 8 or 70-74.99%; C = 7 or 60.00-69.99%"
"136","","Fr Conceicao Rodrigues College of Engineering","","India","10/9/8/7/6","4.0/3.7/3.3/2.3/2.0","O = 10; A = 9; B = 8; C = 7"
"137","","Gandhi Institute of Technology and Management","","India","10/8/7/6/5","4.0/3.7/3.3/3.0/2.0","Use Letter Grade Worksheet; Use ""O"" as A+"
"138","","Ganpat University","","India","10/8/7/6/5","4.0/3.6/3.3/3.0/2.3/2.0","A+ = 100-90; A = 89-80; B+ = 79-70; B = 69-60; C+ = 59-50; C = 49-40"
"139","","Goa University","","India","100/70/60/50","4.0/3.6/3.0/2.0","Distinction = 70+ ; First Class = 60+ ; 2nd Class = 50-60; Pass = 40-50"
"140","","Govind Ballabh Pant University of Agriculture and Technology","","India","10/7.75/6.75/6","4.0/3.6/3.0/2.0","Distinction = 7.75+ ; 1st Division = 6.75-7.749; 2nd Division = 6.00-6.749; Pass = 5.00-5.99"
"141","","Gujarat Technological University, Ahmedabad","","India","10/7.1/6.5/5.5","4.0/3.6/3.0/2.0","Distinction = 7.1+ ; First Class = 6.5+ ; 2nd Class = 5.5+"
"142","","Guru Gobind Singh Indraprastha University, Delhi","","India","100/75/60/50","4.0/3.6/3.0/2.0","90% and above is First class with distinction; 75% and above but below 90%: first class with distinction; 60% and above but below 75% : first class; 50% and above but below 60%: second class
"
"143","","Indian Institute of Engineering Science and Technology, Shibpur","","India","10/8/7/6","4.0/3.6/3.0/2.0","O = 10; E = 9; A = 8; B = 7; C = 6"
"144","","Indian Institute of Information Technology Allahabad","","India","","","Use the Letter Grade Worksheet"
"145","","Indian Institute of Information Technology, Design and Manufacturing Jabalpur","","India","10/9/8/7/6","4.0/3.7/3.3/3.0/2.3","A+ = 10; A = 9; B+ = 8; B = 7; C+ = 6; C = 5"
"146","","Indian Institute of Science","","India","8/7/6/5/4","4.0/3.7/3.3/3.0/2.0","S = 8; A = 7; B = 6; C = 5; D = 4"
"415","","Indian Institute of Science Education and Research","","India","10/8/6","4.0/3.0/2.0","O = 10; B = 8; C = 6"
"147","","Indian Institute of Space Science and Technology","","India","10/9/8/7","4.0/3.7/3.0/2.0","S = 10; A = 9; B = 8; C = 7"
"151","","Indian Institute of Technology","","India","10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5","4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0","scale provided by Graduate Division"
"148","","Indian Institute of Technology (Banaras Hindu University)","","India","10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5","4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0","scale provided by Graduate Division"
"149","","Indian Institute of Technology Delhi","","India","10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5","4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0","scale provided by Graduate Division"
"152","","Indian Institute of Technology Hyderabad","","India","10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5","4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0","scale provided by Graduate Division"
"154","","Indian Institute of Technology Kanpur","","India","10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5","4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0","scale provided by Graduate Division"
"157","","Indian Institute of Technology Mandhi","","India","10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5","4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0","scale provided by Graduate Division"
"158","","Indian Institute of Technology Roorkee","","India","10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5","4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0","scale provided by Graduate Division"
"159","","Indian Institute of Technology Ropar","","India","10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5","4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0","scale provided by Graduate Division"
"155","7110156","Indian Institute of Technology, Kharagpur","Kharagpur","India","10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5","4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0","scale provided by Graduate Division"
"156","7114342","Indian Institute of Technology, Madras","Madras","India","10/9.75/9.5/9.25/9/8.75/8.5/8.25/8/7.75/7.5/7.25/7/6.75/6.5/6.25/6/5.75/5.5/5.25/5","4.0/3.93/3.87/3.81/3.74/3.67/3.6/3.52/3.45/3.38/3.3/3.23/3.15/3.08/3.0/2.83/2.66/2.5/2.33/2.17/2.0","scale provided by Graduate Division"
"160","","Indian School of Mines","","India","10/9/8/7/6/5","4.0/3.6/3.3/3.0/2.3/2.0","A+ = 10; A = 9; B+ = 8; B = 7; C+ = 6; C = 5"
"339","","Institute of Chemical Technology","Mumbai","India","10/9/8/7/6.5","4.0/3.6/3.0/2.5/2.0","10 = AA, 9 = AB, 8 = BB, 7 = BC, 6.5 = CC"
"161","","ITM University/The Northcap University","Gurgaon","India","","","Use the Letter Grade Worksheet"
"162","7114975","Jadavpur University","Calcutta, West Bengal","India","","","Use the Letter Grade Worksheet"
"421","","Jain University","","India","10/7.5/7/6.5/6/5.5","4.0/3.6/3.3/3.0/2.3/2.0","Distinction = 7.5+; First = 6.5-7.54; Second = 5.5-6.4
"
"163","7128772","Jawaharlal Nehru Engineering College","Hyderabad","India","100/66/60/50","4.0/3.6/3.0/2.0","Distinction = 66+; First Class = 60-65.99; Second Class = 50-59.99"
"164","","Jaypee Institute of Information Technology","","India","10/9/8/7/6/5","4.0/3.6/3.3/3.0/2.3/2.0","A+ = 10; A = 9; B+ = 8; B = 7; C+ = 6; C = 5"
"459","","JSS Science and Technology University","","India","10/7.75/6.75/5","4.0/3.6/3.0/2.0","First Class with Distinction = 7.75+; First Class = 6.75-7.74; Second Class = 5.00-6.74
Or use the Letter Grade Worksheet; S = A+ ; E = F"
"410","","Kalinga Institute of Industrial Technology","","India","10/9/8/7/6/5","4.0/3.7/3.3/3.0/2.0/1.0","10 = O, 9 = E, 8 = A, 7 = B, 6 = C, 5 = D"
"165","","Karunya University","","India","10/8/7/6","4.0/3.6/3.0/2.0","O = 10 ; S = 9; A = 8; B = 7; C = 6"
"166","","KC College of Engineering and Management Studies and Research","","India","100/70/60/50","4.0/3.6/3.0/2.0","Distinction = 70+ ; First Class = 60+ ; 2nd Class = 50-60; Pass = 40-50"
"168","","KJ Somaiya College of Engineering","","India","10/9/8/7/6/5","4.0/3.7/3.3/3.0/2.3/2.0","Outstanding = 10; Excellent = 9; Very Good = 8; Good = 7; Fair = 6; Average = 5"
"169","","KJ Somaiya Institute of Engineering and Information Technology","","India","100/60/50/40","4.0/3.6/3.0/2.0","First Class = 60+ ; Second Class = 50-60; Pass = 40-50"
"167","","KK Wagh Institute of Engineering Education and Research","","India","100/66/60/55/50","4/3.6/3.0/2.7/2.0","Distinction = 66+; First Class = 60-65.99; Higher Second Class = 55-59.99; Second Class = 50-54.99"
"170","","KL University","","India","","","Use the Letter Grade Worksheet; X = A+"
"171","","Kumaraguru College of Technology","","India","10/9/8/7","4.0/3.6/3.0/2.0","S = 10; A = 9; B = 8; C = 7"
"172","","LNM Institute of Information and Technology, Jaipur","","India","","","Use the Letter Grade Worksheet"
"333","","Lovely Professional University","Punjab","India","10/9/8/7/6","4.0/3.7/3.0/2.7/2.0",""
"174","","Maharashtra State Board of Technical Education","","India","100/75/60/45","4.0/3.6/3.0/2.0","Distinction = 75+ ; First Class = 60-76; Second Class = 45-60"
"173","","Mahatma Gandhi University","","India","","","Use the Letter Grade Worksheet; S = A+ ; E = F"
"175","","Malviya National Institute of Technology, Jaipur","","India","10/9/8/7/6","4.0/3.7/3.0/2.7/2.0","10 = AA, 9 = AB, 8 = BB, 7 = BC, 6 = CC"
"176","7110279","Manipal Institute of Technology","Manipal","India","10/9/8/7","4.0/3.6/3.0/2.0","A+ = 10; A = 9; B = 8; C = 7"
"338","7216872","Manipal University","Manipal","India","10/9/8/7","4.0/3.6/3.0/2.0","A+ = 10, A = 9, B = 8, C = 7, D = 6"
"177","","Maulana Abul Kalam Azad University of Technology, West Bengal","","India","10/8/7/6","4.0/3.6/3.0/2.0","Outstanding = 10; Excellent = 9; A = 8; B = 7; C = 6"
"178","","Maulana Azad National Institute of Technology","","India","10/8/7/6/5","4.0/3.6/3.3/3.0/2.0","A+ = 9-10; A = 8-8.99; B+ = 7-7.99; B = 6-6.99; C = 5-5.99"
"433","","Motilal Nehru National Institute of Technology ","","India","10/9/8/7/6","4.0/3.7/3.3/3.0/2.0","10 = A+, 9 = A, 8 = B+, 7 = B, 6 = C"
"187","7219245","National Institute of Technology","Tiruchirappalli","India","10/8.5/6.5","4.0/3.6/3.0","Distinction = 8.5+; First Class = 6.5-8.5; Second Class = below 6.5"
"180","","National Institute of Technology Calicut","","India","10/8/6.5/5","4.0/3.6/3.0/2.0","Distinction = 8+; First Class = 6.5-8; Second Class = 5-6.5"
"181","","National Institute of Technology Durgapur","","India","10/9/8/7","4.0/3.6/3.0/2.0","Ex = 10; A = 9; B = 8; C = 7; D = 6"
"182","","National Institute of Technology Goa","","India","10/9/8/7/6","4.0/3.7/3.0/2.7/2.0","A = 10; A- = 9; B = 8; B- = 7; C = 6"
"183","","National Institute of Technology Hamirpur","","India","10/9/8/7/6","4.0/3.7/3.0/2.7/2.0","A = 10; A- = 9; B = 8; B- = 7; C = 6"
"184","","National Institute of Technology Karnataka, Surathkal","","India","10/6.5/5.5","4.0/3.0/2.0","6.5 or above = First Class; 5.5 to 6.4 = Second Class"
"434","","National Institute of Technology Raipur","Raipur","India","10/9/8/7/6/5","4.0/3.6/3.3/3.0/2.7/2.0","10 = A+, 9 = A, 8 = B+, 7 = B, 6 = C+, 5 = C"
"185","","National Institute of Technology Rourkela","","India","10/9/8/7","4.0/3.6/3.0/2.0","A+ = 10; A = 9; B = 8; C = 7"
"186","","National Institute of Technology Silchar","","India","10/9/8/7/6","4.0/3.7/3.0/2.7/2.0","AA = 10; AB = 9; BB = 8; BC = 7; CC = 6"
"188","","National Institute of Technology Warangal","","India","10/8/6.5/5","4.0/3.6/3.0/2.0","Distinction = 8+; First Class = 6.5-8; Second Class = 5-6.5"
"341","","Navrachana University","Gujarat","India","10/9/8/7/6/5/4","4.0/3.6/3.0/2.5/2.0/1.5/1.0","10 = AA, 9 = AB, 8 = BB, 7 = BC, 6 = CC, 5 = CD, 4 = DD"
"189","","Netaji Subhas Institute of Technology","","India","100/75/60/50","4.0/3.6/3.0/2.0","Distinction = 75+ ; First Class = 60-75; 2nd Class = 50-60; Pass = 40-50"
"325","7210671","Nirma Institute of Technology","Ahmedabad","India","10/9/8/7/6","4.0/3.7/3.3/3.0/2.5","A+ (Excellent) = 10, A (Creditable) = 9, B+ (Very Good) = 8, B (Good) = 7, C+ (Satisfactory) = 2.5"
"190","","Nitte Meenakshi Institute of Technology","","India","","","Use the Letter Grade Worksheet; S = A+ ; E = F"
"191","","NMIMS University","","India","","","Use the Letter Grade Worksheet"
"336","7115077","Osmania University","Hyderabad","India","100/75/60/45/40","4.0/3.6/3.0/2.0/1.0",""
"192","","Padmabhushan Vasantdada Patil Pratishthan's College of Engineering","","India","100/70/60/50","4.0/3.6/3.0/2.0","Distinction = 70+ ; First Class = 60+ ; 2nd Class = 50-60; Pass = 40-50"
"382","","Pandit Deendayal Petroleum University","","India","10/9/8/7/6/5","4.0/3.9/3.6/3.3/3.0/2.0","O = 10, A+ = 9, A = 8, B+ = 7, B = 6, C = 5"
"193","7113627","Panjab University","Chandigarh","India","10/9/8/7/6/5","4.0/3.6/3.3/3.0/2.3/2.0","A+ = 10; A = 9; B+ = 8; B = 7; C+ = 6; C = 5"
"194","","PEC University of Technology, Chandigarh","","India","","","Use the Letter Grade Worksheet; Do not count S in GPA"
"195","","PES Institute of Technology","","India","10/9/8/7","4.0/3.6/3.0/2.0","S = 10; A = 9; B = 8; C = 7"
"388","","PES University","","India","10/9.5/7.75/6.75/5.75","4.0/3.9/3.6/3.0/2.0","First Class with Honors = 9.5, First Class with Distinction = 7.75, First Class = 6.75, Second Class = 5.75"
"196","","Pondicherry University","","India","","","Use the Letter Grade Worksheet; S = A+ ; E = F"
"197","","PSG College of Technology","","India","10/9/8/7","4.0/3.6/3.0/2.0","S = 10; A = 9; B = 8; C = 7"
"198","","Pune Institute of Computer Technology","","India","100/66/60/55/50","4.0/3.6/3.3/3.0/2.0","Distinction = 66+ ; First Class = 60-65; Higher 2nd Class = 55-59; 2nd Class = 50-54; Pass = 40-49"
"342","","Rajiv Gandhi Institute of Technology","Mumbai","India","10/9/8/7/6","4.0/3.6/3.0/2.0/1.0","10 = O, 9 = A, 8 = B, 7 = C, 6 = D"
"199","","Rajiv Gandhi Proudyogiki Vishwavidyalaya","","India","10/7.5/6.5/5.0","4.0/3.6/3.0/2.0","or use the Letter Grade Worksheet"
"362","","Rajiv Gandhi Proudyogiki Vishwavidyalaya - 100-point scale","","India","100/75/65/45","4.0/3.6/3.0/2.0","75% or above = Distinction, 65% or above = First Class, 45% or above = Second Class"
"361","","Rajiv Gandhi Proudyogiki Vishwavidyalaya - 100-point scale","","India","100/75/65/45","4.0/3.6/3.0/2.0","75% or above = Distinction, 65% or above = First Class, 45% or above = Second Class"
"179","","Ramaiah Institute of Technology","","India","10/9/8/7/5","4.0/3.6/3.0/2.0/1.0","S = 10; A = 9; B = 8; C = 7"
"403","","Ramnarian Ruia College","","India","7/6/5/4","4.0/3.6/3.0/2.0","7=O, 6=A, 5=B, 4=C"
"200","","Rizvi College of Engineering","","India","100/70/60/50","4.0/3.6/3.0/2.0","Distinction = 70+ ; First Class = 60+ ; 2nd Class = 50-60; Pass = 40-50"
"201","","RKN Engg College","","India","100/75/60/50","4.0/3.6/3.0/2.0","Distinction = 75+ ; First Class = 60-75; 2nd Class = 50-60"
"202","","RV College of Engineering, Bengaluru","","India","10/9/8/7","4.0/3.7/3.0/2.0","S = 10; A = 9; B = 8; C = 7"
"203","","Sardar Patel College of Engineering","","India","10/9/8/7","4.0/3.6/3.0/2.0","O = 10, A = 9, B = 8, C = 7 OR Use the Letter Grade Worksheet (S = A+ and E = F)"
"204","","Sardar Patel Institute of Technology - 10-point scale","Vallabh Vidyaagar","India","10/9/8/7","4.0/3.6/3.0/2.0","O = 10 or 80+% ; A = 9 or 75-79.99%; B = 8 or 70-74.99%; C = 7 or 60.00-69.99%"
"363","","Sardar Patel Institute of Technology - Percentage Scale","Vallabh Vidyaagar","India","100/70/60/50","4.0/3.6/3.0/2.0","Above 70% = First Class with Distinction, 60-70% = First Class, 50-60% = Second Class"
"205","","Sardar Vallabhbhai National Institute of Technology","Gujarat","India","10/9/8/7/6","4.0/3.6/3.0/2.6/2.0","10 = AA; 9 = AB; 8 = BB; 7 = BC; 6 = CC"
"206","","Sastra University","","India","10/8/7/6","4.0/3.6/3.0/2.0","S = 10; A = 9; B = 8; C = 7"
"365","","Sathyabama University","","India","10/9/8/7/6","4.0/3.7/3.3/3.0/2.0","10 = A++, 9 = A+, 8 = B++, 7 = B+, 6 = C"
"207","7221337","Savitribai Phule Pune University (formerly University of Pune)","Pune","India","100/66/60/55/50","4.0/3.6/3.0/2.7/2.0","Distinction = 66+ ; First Class = 60+ ; Higher 2nd Class = 55-60; 2nd Class = 50-55"
"208","","SDM College of Engineering and Technology","","India","","","Use the Letter Grade Worksheet; S = A+ ; E = F"
"209","","Shiv Nadar University","","India","10/8.5/7.5/6.5/5.5","4.0/3.7/3.0/2.7/2.0","Use the Letter Grade Worksheet; Ignore asterisks and just put the grade"
